,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
22264,1220041000,101,µµ½É°øÇ×ÅÍ¹Ì³Î,1,,POINT (127.05855002135159 37.50938693384215)
22265,1220041100,101,³íÇöµ¿¿¡½º¾¾ÁÖÅÃ,0,,POINT (127.02631554704051 37.50943945137821)
22266,1220041400,101,°­³²°æÂû¼­»ç°Å¸®,1,,POINT (127.06646237981384 37.5098924271279)
22267,1220041500,101,³²Àüºôµù,1,,POINT (127.04239347373787 37.50984124100074)
22268,1220041600,101,»ï¼º±³±³Â÷·Î,1,,POINT (127.06738485843555 37.510045095061656)
22269,1220041700,105,°­³²±¸-¼ÛÆÄ±¸,0,,POINT (127.06857608819197 37.51024942583948)
22270,1220041800,101,¼±Á¤¸ª¿ª»ç°Å¸®,1,,POINT (127.04387056482351 37.51028768457933)
22271,1220041900,101,ÀÏ½Éºôµù,1,,POINT (127.02345090677643 37.51174946988667)
22272,1220042000,101,ÀÚÀÌ¾ðÆ®È£ÅÚ¾Õ,1,,POINT (127.04948150411806 37.51192163632293)
22273,1220042100,101,ÇÑÁÖºôµù,1,,POINT (127.02517933338508 37.51227953529963)
22274,1220042200,101,Â÷°ü¾ÆÆÄÆ®¾Õ,1,,POINT (127.0510574451387 37.512382252740245)
22275,1220042400,101,Â÷°ü¾ÆÆÄÆ®»ç°Å¸®,1,,POINT (127.05333213117292 37.51304394240511)
22276,1220042500,101,¾ÆÀÌÆÄÅ©Å¸¿ö,0,,POINT (127.06088033934905 37.51312227275745)
22277,1220042501,101,»ï¼º1µ¿ÁÖ¹Î¼¾ÅÍ,0,,POINT (127.06232655265778 37.51356829301966)
22278,1220042600,101,¿øÀÏºôµù,1,,POINT (127.02793115096065 37.51313076741889)
22279,1220042700,101,¿ì¸®ÀºÇà³íÇö2µ¿ÁöÁ¡,1,,POINT (127.03537004286332 37.51324688494125)
22280,1220042800,101,±â¸°°ÇÃà¹éÈ­Á¡,1,,POINT (127.03110119761057 37.51331611910474)
22281,1220042900,101,ÀÌ¸ð½ººôµù,1,,POINT (127.04103077442961 37.51332729876498)
22282,1220043000,101,±¹Á¦ºôµù¾Õ,1,,POINT (127.02861356291822 37.51333562034832)
22283,1220043100,101,ºÀÀº»ç»ï°Å¸®,1,,POINT (127.0563356791379 37.513553896664824)
22284,1220043200,101,¼­°æºôµù,1,,POINT (127.04260454106662 37.51368718915036)
22285,1220043201,101,»ï¼ºµ¿111-125,0,,POINT (127.04405213328127 37.5140783425703)
22286,1220043202,101,¾ðÁÖÁßÇÐ±³,0,,POINT (127.04587935563481 37.514634913350285)
22287,1220043300,101,³íÇöÁß¿øºô¶ó,0,,POINT (127.04086044957921 37.51380294825997)
22288,1220043400,101,ÇÐµ¿¿ª±³Â÷·Î,1,,POINT (127.03073517243502 37.51400039680911)
22289,1220043500,101,JSMºôµù,1,,POINT (127.03336279297554 37.51401398729101)
22290,1220043600,101,ÁøÈï»óÈ£ÀúÃàÀºÇà,0,,POINT (127.04242075435168 37.514155693549924)
22291,1220043700,101,¼­¿ïÀÇ·á¿øº°°ü,0,,POINT (127.06585355728214 37.51420242853933)
22292,1220043800,101,ÄÚ¿¢½º¾Õ±³Â÷·Î,1,,POINT (127.06023088804346 37.514265479604994)
22293,1220043801,101,»ï¼º1µ¿ÁÖ¹Î¼¾ÅÍ,1,,POINT (127.06181345453055 37.514543039747174)
22294,1220043900,101,È£»çÀåÁÖÅÃ,1,,POINT (127.03914831201966 37.514371137172056)
22295,1220044000,101,ÇÑ±¹°Ç¼³±â¼úÈ¸°ü,1,,POINT (127.03538416809069 37.51464146903854)
22296,1220044100,101,°í·Áºôµù,1,,POINT (127.03304108261534 37.514710179812106)
22297,1220044200,101,¾ÆÀÌÄ³½½ºôµù,1,,POINT (127.0304242154877 37.514706115635065)
22298,1220044300,101,ÇÑ±¹ÅäÁöÁÖÅÃ°ø»ç,0,,POINT (127.04050870309946 37.514721351853495)
22299,1220044400,101,ÇÏ¿ÍÀÌÈ£ÅÚ,1,,POINT (127.05989472223662 37.51491288209648)
22300,1220044500,101,±âµ¶±³ÇÑ±¹Ä§·ÊÈ¸»õ±¹,0,,POINT (127.04731893994122 37.5150692545251)
22301,1220044501,101,°­³²±¸Ã»,0,,POINT (127.04677403905666 37.51688481182252)
22302,1220044600,101,´ë¸íºôµù,1,,POINT (127.05225167615619 37.5150540621991)
22303,1220044700,101,¼ººÎºôµù,1,,POINT (127.04206665725138 37.515121304352505)
22304,1220044800,101,¼­¿ïÀÇ·á¿ø»ç°Å¸®,1,,POINT (127.0660092659531 37.51528508860153)
22305,1220044900,101,³íÇö¾ÆÆÄÆ®,1,,POINT (127.02257009894906 37.515238140822625)
22306,1220045000,104,ºÀÀº±³±³Â÷·Î,1,,POINT (127.06658727227752 37.51543219088509)
22307,1220045100,101,ºê¶ó¿î½ºÅæ·¹Àüµå,0,,POINT (127.04295563947656 37.51534626416427)
22308,1220045101,101,°­³²±¸Ã»¿ª(¼­¿ï7È£¼±),0,,POINT (127.04246453525276 37.51668528986423)
22309,1220045102,101,»ï¼ºµ¿111-107,0,,POINT (127.0439445462971 37.51696726624979)
22310,1220045103,101,»ï¼ºµ¿111-115,0,,POINT (127.04353834049294 37.51547775232723)
22311,1220045104,101,»ï¼ºµ¿111-107,0,,POINT (127.04412131233435 37.51634629360538)
22312,1220045200,101,³íÇö°ñÀÔ±¸,0,,POINT (127.03267506202924 37.51538254488521)
22313,1220045300,101,¼­¿ï¼¼°ü¾Õ±³Â÷·Î,1,,POINT (127.03538793118915 37.515426926067164)
22314,1220045400,105,°­³²±¸-¼ÛÆÄ±¸,0,,POINT (127.06791618411702 37.51556016512989)
22315,1220045500,101,Äý½ººô,1,,POINT (127.02363093198721 37.51557064520357)
22316,1220045600,101,°­³²±³È¸,1,,POINT (127.03852495450425 37.515594526844296)
22317,1220045700,101,µ¿ÀÏÆÄÅ©½ºÀ§Æ®,1,,POINT (127.06613109563779 37.51598946649755)
22318,1220045800,101,°í¿µºôµù,1,,POINT (127.04001112148904 37.516055319600476)
22319,1220045900,101,À¯°æºôµù¾Õ,1,,POINT (127.03818961688094 37.51628902933396)
22320,1220046000,101,»ï±¤ºôµù,1,,POINT (127.0515926193026 37.51628802500735)
22321,1220046200,101,ÇÑ±¹»ê¾÷°æÁ¦¿¬±¸¿ø,1,,POINT (127.0415466860231 37.51651250016855)
22322,1220046300,101,¼Û¾Ïºôµù,1,,POINT (127.03540138824638 37.51649972003854)
22323,1220046500,106,º»´ÙºóÄ¡,1,,POINT (127.06622591260958 37.51660446177211)
22324,1220046600,101,°­³²ÆÄ¶ó°ï,1,,POINT (127.03980001632661 37.51678435055473)
22325,1220046700,101,³íÇöºôµù,1,,POINT (127.0378787134374 37.51698046314992)
22326,1220046800,101,±¹¹Î¿¬±Ý°ü¸®°ø´Ü,1,,POINT (127.02192549632268 37.51712528370307)
22327,1220046900,101,°­³²±¸Ã»¿ª»ç°Å¸®,1,,POINT (127.04129069707336 37.517232014187286)
22328,1220047000,101,Ãµ¸¶ºôµù,1,,POINT (127.04222455605594 37.51738902175525)
22329,1220047100,101,¿þ¾îÆÝºôµù,1,,POINT (127.05096045146362 37.517482638085625)
22330,1220047200,101,»ï¼º¿ùµåÅ¸¿ö¾ÆÆÄÆ®,1,,POINT (127.04375706646235 37.51766976531873)
22331,1220047300,101,¿µµ¿È£ÅÚ,1,,POINT (127.0234460636545 37.51775911156617)
22332,1220047400,101,°­³²±¸³ëÀÎº¹ÁöÈ¸°ü,1,,POINT (127.04101573809629 37.517932978891174)
22333,1220047500,101,Èñ¼ººôµù,1,,POINT (127.02888439572475 37.51795659158981)
22334,1220047700,101,Çª¸¥¼Ö¾ÆÆÄÆ®,1,,POINT (127.0464389818668 37.518155058748924)
22335,1220047800,106,½Åµ¿¾ÆµàÅ©ºô,0,,POINT (127.06581852194516 37.51789200070536)
22336,1220047900,105,°­³²±¸-¼ÛÆÄ±¸,0,,POINT (127.06759293812947 37.518351258044845)
22337,1220048000,104,Ã»´ã1±³,0,,POINT (127.06719332816816 37.51820561274144)
22338,1220048100,101,°­³²¼¼¹«¼­,1,,POINT (127.04798948716696 37.51844527649369)
22339,1220048200,101,Ã»´ã°ø¿ø¾Õ±³Â÷·Î,1,,POINT (127.05024756598795 37.51884534783359)
22340,1220048300,101,±¸»êºôµù,1,,POINT (127.02845916519732 37.518918842876545)
22341,1220048400,101,¾Óµå·¹±è,1,,POINT (127.02625379746442 37.518940939906315)
22342,1220048500,101,Ã»´ã¿ª,1,,POINT (127.05262722903075 37.519259111709275)
22343,1220048600,101,ÇÑ±³ºôµù,0,,POINT (127.02311215233345 37.519520886519054)
22344,1220048800,101,Æ®¸®½ººôµù,1,,POINT (127.03470872930106 37.51965022334795)
22345,1220048900,101,°­³²À»Áöº´¿ø»ç°Å¸®,1,,POINT (127.02810371251175 37.51970813286013)
22346,1220049200,101,Ã»´ãÃµÁÖ±³È¸,1,,POINT (127.04964356296047 37.51996175053208)
22347,1220049500,101,°æ±â°í±³¾Õ±³Â÷·Î,1,,POINT (127.05706369038748 37.52008551938336)
22348,1220049600,101,¼¼Á¾ºôµù,1,,POINT (127.03445757499838 37.520200980031)
22349,1220049700,101,³íÇöµ¿ÇÑÁø·ÎÁîÈú¾ÆÆÄ,0,,POINT (127.03690438286093 37.520303940893236)
22350,1220049701,101,³íÇöµ¿279-11,0,,POINT (127.03663456156781 37.52087063229764)
22351,1220049800,101,°­¼®ºôµù,0,,POINT (127.02749415897084 37.520421065229414)
22352,1220049900,101,¼±È£ºôµù,1,,POINT (127.0281452418557 37.52071055639181)
22353,1220049901,101,½Å»çµ¿668,1,,POINT (127.02834092661871 37.52377695784564)
22354,1220050000,101,½ÅÃµÁöºôµù,1,,POINT (127.03173166040402 37.52085625760311)
22355,1220050100,104,Ã»´ã2±³,0,,POINT (127.06266410181875 37.52159721789321)
22356,1220050300,101,°­³²¼ö»ê¹°Á÷ÆÇÀå,0,,POINT (127.03756477701839 37.52118697053159)
22357,1220050700,101,µµ»ê°ø¿ø»ç°Å¸®,1,,POINT (127.03386424004371 37.52154577321801)
22358,1220050900,101,¿µµ¿°í±³,0,,POINT (127.03962273444237 37.52167857536095)
22359,1220051100,101,CNJºôµù,1,,POINT (127.03133694197916 37.52170980278664)
22360,1220051400,106,ÇÑ³²IC,0,,POINT (127.0184647515423 37.52207402145405)
22361,1220051500,101,¿µºÎºôµù¾Õ,1,,POINT (127.0359656587772 37.52219595889551)
22362,1220051600,106,ÇÑ³²IC,0,,POINT (127.01835361897167 37.52214543963845)
22363,1220051700,101,Ã»·Ïºô¶ó,1,,POINT (127.03136716530518 37.52241066315345)
22364,1220051800,101,¿µµ¿¼Ò¹æ,1,,POINT (127.03738459616561 37.52265680371038)
22365,1220051900,106,ÇÑ³²IC,0,,POINT (127.01964145636826 37.52267861977478)
22366,1220052000,101,±Ý±¸ºôµù,0,,POINT (127.0415328474928 37.52268392824671)
22367,1220052100,101,¿õ°¡ÇÁ¶óÀÚ,1,,POINT (127.0332767693336 37.523029922240845)
22368,1220052200,101,ÇÐµ¿»ç°Å¸®,1,,POINT (127.03915089129501 37.52319666357051)
22369,1220052300,101,ÇÏÀÌÃ÷ÆÄÅ©,1,,POINT (127.03412094005805 37.52329429501404)
22370,1220052400,101,µ¿±ÃÅ¸¿î¾Õ,1,,POINT (127.04138389280568 37.523472435237544)
22371,1220052500,101,Çö´ë¿ÀÇÇ½ºÅÚ,1,,POINT (127.05503758388282 37.52376631723033)
22372,1220052600,101,CJ¹Ìµð¾î,1,,POINT (127.04463465414409 37.523890819459154)
22373,1220052700,101,Å°³×¸¶±ØÀå,1,,POINT (127.03936973621863 37.524050744757886)
22374,1220052800,101,Çö´ë°í,0,,POINT (127.02241700515631 37.52413774788004)
22375,1220052900,101,¿µµ¿´ë±³³²Ãø,0,,POINT (127.05476501224875 37.524157405073225)
22376,1220053000,101,Ã»´ã»ç°Å¸®,1,,POINT (127.0473765747085 37.524237801416426)
22377,1220053200,101,¼Û´ãºôµù,1,,POINT (127.04824466055305 37.52435664540659)
22378,1220053400,101,½ÅÇÑ¾çºôµù,1,,POINT (127.03958555845026 37.524651416833514)
22379,1220053500,101,Ã»´ãºôµù,1,,POINT (127.05044180463214 37.52462272508126)
22380,1220053600,106,ÇÑ³²´ë±³³²Ãø,0,,POINT (127.01691138907795 37.52376687038311)
22381,1220053700,106,Ã»´ãµ¿341-2,0,,POINT (127.05802332965325 37.5244839366409)
22382,1220053800,101,KT½Å»çÁö»ç¾Õ,1,,POINT (127.02839062816226 37.524555740849486)
22383,1220053900,106,ÇÑ³²IC,0,,POINT (127.01692132188816 37.52424444080116)
22384,1220054000,106,±Ý¹®±³È¸,0,,POINT (127.05569588774465 37.525558353469144)
22385,1220054100,101,¿µµ¿´ë±³³²Ãø,0,,POINT (127.05304315666339 37.52485408454663)
22386,1220054200,101,º®´çºôµù,1,,POINT (127.02389053467532 37.52488810028868)
22387,1220054300,101,Áøºôµù,1,,POINT (127.04696339591577 37.52499199632345)
22388,1220054400,106,ÇÑ³²IC,0,,POINT (127.02002722747781 37.52677776600316)
22389,1220054500,101,¿µµ¿´ë±³³²´Ü±³Â÷·Î,1,,POINT (127.05451618138574 37.52506700358192)
22390,1220054600,101,¿µµ¿´ë±³³²Ãø,0,,POINT (127.05302499527734 37.524961232677356)
22391,1220054700,101,È¶ºÒ±³È¸,0,,POINT (127.04784943969976 37.525096532648874)
22393,1220054900,102,ÇÑ³²IC,0,,POINT (127.01889800367879 37.52518351617906)
22394,1220055000,106,ÇÑ³²IC,0,,POINT (127.02155783391196 37.52808721994726)
22395,1220055200,104,¾Ð±¸Á¤°í°¡Â÷µµ³²Ãø,0,,POINT (127.02840734963792 37.5250038512274)
22396,1220055300,101,¿µµ¿´ë±³³²Ãø,0,,POINT (127.05456716101828 37.52563685938935)
22397,1220055400,101,ÇÑ¾çÅ¸¿î¾Õ,1,,POINT (127.03996927791887 37.525766956292934)
22398,1220055500,101,Çö´ë°íµîÇÐ±³,0,,POINT (127.02084417938994 37.52609193413973)
22399,1220055600,101,Ä«·Î½ÃÆ¼2ºôµù,0,,POINT (127.02630829335266 37.526115874121714)
22400,1220055700,101,¹Ì¼º1Â÷¾ÆÆÄÆ®,0,,POINT (127.02058386631727 37.52644241374772)
22401,1220055800,106,°í°¡Â÷µµ,0,,POINT (127.05609689240002 37.52610420156698)
22402,1220055900,101,¿µµ¿´ë±³³²Ãø»ï°Å¸®,0,,POINT (127.05455512522799 37.526447683890545)
22403,1220056100,101,°¶·¯¸®¾ÆÁÖÀ¯¼Ò,1,,POINT (127.04375591399341 37.52703385193713)
22404,1220056200,106,»óÁöÄ«ÀÏ·ë1Â÷,1,,POINT (127.05416661292874 37.52728699733082)
22405,1220056300,101,¾Ð±¸Á¤·Îµ¥¿À¿ª3¹øÃâ±¸,1,,POINT (127.04232285441762 37.527401495507696)
22406,1220056400,101,½Å»ç°ø¿ø,0,,POINT (127.02177844184087 37.527404105630914)
22407,1220056500,101,ÅÂ½Âºôµù,1,,POINT (127.03354818507019 37.52758191498095)
22408,1220056700,104,¿µµ¿´ë±³³²Ãø,0,,POINT (127.05599362724183 37.52790700397175)
22409,1220060000,101,±¸Á¤°í±³,0,,POINT (127.03177479089238 37.53104436623704)
22410,1220060100,101,µ¿È£´ë±³JC,1,,POINT (127.02457270542266 37.53121414995247)
22411,1220060200,101,¾Ð±¸Á¤µ¿496,0,,POINT (127.03790399636368 37.53153358849719)
22412,1220060300,101,ÇÑ¾ç¾ÆÆÄÆ®41µ¿,0,,POINT (127.03643139654204 37.531877333419224)
22413,1220060400,106,¼º¼ö´ë±³³²Ãø,0,,POINT (127.0381011868813 37.53187887340737)
22414,1220060500,106,¾Ð±¸Á¤µ¿502,0,,POINT (127.03977057939484 37.531721285721275)
22415,1220060600,101,½Å»ç½ÃÀå,0,,POINT (127.02712793181344 37.53216834383188)
22416,1220060700,106,µ¿È£´ë±³JC,0,,POINT (127.02466103169783 37.5321844594385)
22417,1220060800,106,¼º¼ö´ë±³³²Ãø,0,,POINT (127.0351566057607 37.532373640746115)
22419,1220061100,104,µ¿È£´ë±³³²Ãø,0,,POINT (127.02313113700838 37.53348731923848)
22420,1220061200,101,¾Ð±¸Á¤Çö´ë¾ÆÆÄÆ®77µ¿,0,,POINT (127.02951246329346 37.53279354703017)
22421,1220061300,101,¾Ð±¸Á¤µ¿477,0,,POINT (127.03158256299183 37.53305404869374)
22422,1220061500,106,¼º¼ö´ë±³³²Ãø,0,,POINT (127.03431171106975 37.532311272365554)
22423,1220061600,106,¼º¼ö´ë±³³²Ãø,0,,POINT (127.0341815043362 37.53235773600933)
22424,1220061700,106,µ¿È£´ë±³JC,0,,POINT (127.02650391458828 37.53380779117268)
22425,1220061800,106,¼º¼ö´ë±³³²Ãø,0,,POINT (127.03169076578085 37.53359312374117)
22426,1220061900,106,¾Ð±¸Á¤µ¿373,0,,POINT (127.03655906174886 37.533257666392004)
22427,1220062100,106,¼º¼ö´ë±³³²Ãø,0,,POINT (127.02991656641034 37.53424844658776)
22428,1220062200,106,¾Ð±¸Á¤µ¿373-1,0,,POINT (127.03305252746122 37.5343986516104)
22448,1220063800,102,Çö´ë3Â÷¾ÆÆÄÆ®63µ¿,0,,POINT (127.03357977439401 37.53257548689333)
