interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220061600,0.52,14.47,2,5,11
0.0,1800.00,1220069202,2.00,6.34,0,0,21
0.0,1800.00,1220036002,1.45,13.01,0,0,33
0.0,1800.00,1220035903,1.98,13.12,0,0,45
0.0,1800.00,1220033501,0.36,13.15,0,0,8
0.0,1800.00,1220033502,0.34,13.13,0,0,8
0.0,1800.00,1220033503,0.38,12.16,0,0,8
0.0,1800.00,1220033602,1.19,13.01,0,0,30
0.0,1800.00,1220033603,1.31,13.02,0,0,30
0.0,1800.00,1220033701,0.74,12.99,4,0,13
0.0,1800.00,1220033702,0.70,13.39,0,0,17
0.0,1800.00,1220034001,2.41,10.98,0,0,46
0.0,1800.00,1220034002,1.82,12.50,12,0,29
0.0,1800.00,1220034101,2.40,13.43,0,0,56
0.0,1800.00,1220034102,2.59,12.11,0,0,56
0.0,1800.00,1220034202,1.46,12.40,6,2,26
0.0,1800.00,1220034203,1.04,13.27,0,0,24
0.0,1800.00,1220034204,1.15,12.88,3,0,23
0.0,1800.00,1220034302,1.94,12.88,0,0,44
0.0,1800.00,1220034303,2.17,12.85,7,0,42
0.0,1800.00,1220034304,2.18,13.25,0,0,51
0.0,1800.00,1220034402,1.18,10.33,0,4,21
0.0,1800.00,1220034404,0.17,14.40,0,0,4
0.0,1800.00,1220034405,0.05,11.51,0,0,1
0.0,1800.00,1220034406,0.68,13.75,0,0,16
0.0,1800.00,1220033403,0.44,12.97,0,0,10
0.0,1800.00,1220033402,0.47,13.25,0,0,11
0.0,1800.00,1220033401,0.96,9.25,0,0,15
0.0,1800.00,1220033302,0.45,12.60,1,0,9
0.0,1800.00,1220032706,0.08,14.38,0,0,2
0.0,1800.00,1220032707,0.11,10.90,0,0,2
0.0,1800.00,1220032801,1.31,13.07,0,0,29
0.0,1800.00,1220032803,1.10,13.19,0,0,27
0.0,1800.00,1220032804,1.18,13.20,0,0,27
0.0,1800.00,1220032805,1.22,12.64,0,0,27
