interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220065100,0.16,6.99,0,0,2
0.0,1800.00,1220065200,0.31,7.23,4,0,0
0.0,1800.00,1220065900,0.56,6.37,0,5,7
0.0,1800.00,1220036201,1.03,12.94,0,0,23
0.0,1800.00,1220069900,0.07,7.67,0,1,1
0.0,1800.00,1220036104,1.82,8.63,0,0,27
0.0,1800.00,1220036102,1.36,12.85,0,0,30
0.0,1800.00,1220033603,0.83,13.04,0,0,19
0.0,1800.00,1220033701,0.59,12.45,4,0,9
0.0,1800.00,1220033702,0.43,13.18,0,0,10
0.0,1800.00,1220034001,2.37,11.19,0,0,46
0.0,1800.00,1220034002,1.77,12.85,12,0,29
0.0,1800.00,1220034101,1.95,13.03,0,0,44
0.0,1800.00,1220034102,2.06,11.95,0,0,44
0.0,1800.00,1220034202,1.28,12.79,6,2,23
0.0,1800.00,1220034203,0.90,13.43,0,0,21
0.0,1800.00,1220034204,1.04,12.64,3,0,20
0.0,1800.00,1220033602,0.90,12.90,0,0,23
0.0,1800.00,1220034302,1.42,12.68,0,0,32
0.0,1800.00,1220034304,1.70,12.79,0,0,38
0.0,1800.00,1220034402,1.31,11.08,0,4,25
0.0,1800.00,1220034404,0.44,12.43,0,0,9
0.0,1800.00,1220034405,0.62,11.89,0,0,13
0.0,1800.00,1220034406,0.73,14.49,0,0,18
0.0,1800.00,1220034407,0.74,13.69,0,0,18
0.0,1800.00,1220034502,0.59,11.87,0,0,12
0.0,1800.00,1220034504,0.34,12.44,0,0,7
0.0,1800.00,1220034505,1.00,11.83,0,7,21
0.0,1800.00,1220034506,0.32,12.47,0,0,8
0.0,1800.00,1220034303,1.61,12.44,7,0,29
0.0,1800.00,1220034507,0.28,14.51,0,0,7
0.0,1800.00,1220033503,0.79,11.51,0,0,16
0.0,1800.00,1220033501,0.70,13.55,0,0,16
0.0,1800.00,1220032802,1.15,13.05,0,0,26
0.0,1800.00,1220032803,1.14,13.13,0,0,27
0.0,1800.00,1220032805,1.21,12.66,0,0,27
0.0,1800.00,1220032901,2.10,12.88,2,0,44
